,Unnamed: 0,CamId,Filename,S_Spring,S_Summer,S_Fall,S_Winter,D_Night,D_Twilight,D_Sunrise,D_Sunset,D_Day,D_FullDaylight,I_Height,I_Width,I_LowestSky,I_Low09Sky,TimeStamp,DQ_TimeDiffers,IQ_Empty,IQ_Noise,Conds,Fog,Rain,Snow,Hail,Thunder
20,52827,11160,20130910_192312.jpg,0,0,1,0,1,0,0,0,0,0,480,640,233,232,17:50+0,93,0,15.717.776.381.573.800,Mostly Cloudy,0,0,0,0,0
21,63401,19388,20131123_054402.jpg,0,0,1,0,1,0,0,0,0,0,960,1280,396,393,08:20+1,96,0,0.5261572941457593,Mostly Cloudy,0,0,0,0,0
22,53451,4181,20130911_060105.jpg,0,0,1,0,1,0,0,0,0,0,480,640,166,155,18:58-7,243,0,2,06E-02,Clear,0,0,0,0,0
23,11829,10917,20120308_195405.jpg,1,0,0,0,1,0,0,0,0,0,960,1280,959,959,22:20+0,146,0,0.6105038351402445,Partly Cloudy,0,0,0,0,0
24,52982,19834,20140917_073233.jpg,0,0,1,0,1,0,0,0,0,0,512,672,283,282,00:53-6,39,0,10.804.699.065.529.400,Mostly Cloudy,0,0,0,0,0
25,3269,260,20130310_011502.jpg,1,0,0,0,1,0,0,0,0,0,720,1280,337,325,18:38-5,97,0,0.8273108697797091,Clear,0,0,0,0,0
26,85506,3888,20131204_001224.jpg,0,0,0,1,1,0,0,0,0,0,240,320,69,68,01:00+0,48,0,4,57E-18,Clear,0,0,0,0,0
27,9705,17244,20130520_013555.jpg,1,0,0,0,1,0,0,0,0,0,480,640,157,142,18:43-6,52,0,11.585.264.954.478.700,Mostly Cloudy,0,0,0,0,0
28,3941,21510,20140311_080121.jpg,1,0,0,0,1,0,0,0,0,0,480,640,216,213,00:43-7,18,0,73.972.702.138.648.700,Clear,0,0,0,0,0
29,32220,684,20120829_084147.jpg,0,1,0,0,1,0,0,0,0,0,720,1280,523,505,02:54-5,47,0,2.041.904.489.510.040,Clear,0,0,0,0,0
30,62747,162,20131113_103837.jpg,0,0,1,0,1,0,0,0,0,0,720,1280,521,513,03:52-6,46,0,15.327.056.352.292.900,Clear,0,0,0,0,0
31,56181,684,20141009_051155.jpg,0,0,1,0,1,0,0,0,0,0,720,1280,523,505,00:54-5,43,0,16.878.861.302.078.700,Clear,0,0,0,0,0
32,54791,260,20130920_084457.jpg,0,0,1,0,1,0,0,0,0,0,720,1280,337,325,06:08-5,144,0,0.8802950672377013,Overcast,0,0,0,0,0
33,53584,21510,20130919_013046.jpg,0,0,1,0,1,0,0,0,0,0,480,640,216,213,17:43-7,47,0,4.533.816.416.043.710,Mostly Cloudy,0,0,0,0,0
34,2286,8733,20130329_183648.jpg,1,0,0,0,1,0,0,0,0,0,480,640,321,319,18:50+1,46,0,15.139.884.448.000.400,Light Rain,0,1,1,0,0
35,4587,8887,20140422_230815.jpg,1,0,0,0,1,0,0,0,0,0,768,1024,52,48,00:50+1,42,0,0.7718915499179684,Mostly Cloudy,0,0,0,0,0
36,91209,3837,20131223_035223.jpg,0,0,0,1,1,0,0,0,0,0,480,640,124,119,03:50+0,2,0,11.077.816.736.691.600,Overcast,0,0,0,0,0
37,15955,162,20140510_040833.jpg,1,0,0,0,1,0,0,0,0,0,720,1280,521,513,18:52-6,196,0,18.593.405.791.413.700,Clear,0,0,0,0,0
38,46858,8887,20130609_203811.jpg,0,1,0,0,1,0,0,0,0,0,768,1024,52,48,20:50+1,48,0,15.446.744.164.970.300,Mostly Cloudy,0,0,0,0,0
39,88119,24325,20140105_143852.jpg,0,0,0,1,1,0,0,0,0,0,768,1024,418,409,06:53-7,45,0,0.6328975919330619,Clear,0,0,0,0,0
40,72906,9730,20130320_222706.jpg,0,0,1,0,1,0,0,0,0,0,480,640,182,179,20:00-4,93,0,0.4160905572936017,Drizzle,0,0,0,0,0
41,18361,4584,20130508_220657.jpg,1,0,0,0,1,0,0,0,0,0,480,640,246,245,00:50+2,44,0,7.377.311.579.475.800,Scattered Clouds,0,0,0,0,0
42,15660,8887,20140520_233811.jpg,1,0,0,0,1,0,0,0,0,0,768,1024,52,48,00:50+1,12,0,0.9538903881663232,Partly Cloudy,0,0,0,0,0
43,11248,260,20130314_031447.jpg,1,0,0,0,1,0,0,0,0,0,720,1280,337,325,19:50-5,144,0,0.8669893109783178,Clear,0,0,0,0,0
44,44107,1093,20140720_045403.jpg,0,1,0,0,1,0,0,0,0,0,480,640,212,207,22:53-6,1,0,12.294.431.817.323.700,Mostly Cloudy,0,0,0,0,0
45,78847,623,20121225_004149.jpg,0,0,0,1,1,0,0,0,0,0,720,1280,435,435,17:52-6,49,0,1.609.834.225.973.770,Clear,0,0,0,0,0
46,46462,9730,20130112_215705.jpg,0,1,0,0,1,0,0,0,0,0,480,640,182,179,22:00-4,243,0,0.6825553503262132,Clear,0,0,0,0,0
47,49825,260,20140630_074457.jpg,0,1,0,0,1,0,0,0,0,0,720,1280,337,325,05:11-5,147,0,10.365.737.096.283.800,Clear,0,0,0,0,0
48,88064,3395,20110210_153729.jpg,0,0,0,1,1,0,0,0,0,0,485,974,277,275,18:00+0,143,0,0.25315903677322715,,0,0,0,0,0
49,15458,3396,20140313_033841.jpg,1,0,0,0,1,0,0,0,0,0,960,1280,484,482,07:00+1,142,1,0.2440710362397868,Patches of Fog,1,0,0,0,0
50,54528,10917,20121128_172413.jpg,0,0,1,0,1,0,0,0,0,0,960,1280,959,959,15:50+0,94,0,0.5989807122030572,Light Snow,0,0,1,0,0
51,59717,7233,20131117_053144.jpg,0,0,1,0,1,0,0,0,0,0,720,1280,258,247,07:20+1,49,0,16.125.081.759.570.600,Unknown,0,0,0,0,0
52,89227,260,20130215_094501.jpg,0,0,0,1,1,0,0,0,0,0,720,1280,337,325,07:13-5,148,0,0.8587926271059736,Mostly Cloudy,0,0,0,0,0
53,73996,260,20130201_044500.jpg,0,0,0,1,1,0,0,0,0,0,720,1280,337,325,23:44-5,1,0,11.979.614.244.061.000,Scattered Clouds,0,0,0,0,0
54,14457,260,20140502_041505.jpg,1,0,0,0,1,0,0,0,0,0,720,1280,337,325,21:40-5,95,0,0.8984710683045811,Mostly Cloudy,0,0,0,0,0
55,33556,7233,20130626_213141.jpg,0,1,0,0,1,0,0,0,0,0,720,1280,258,247,20:20+1,131,0,0.3209927962332536,Mostly Cloudy,0,0,0,0,0
56,3017,260,20130316_104459.jpg,1,0,0,0,1,0,0,0,0,0,720,1280,337,325,06:34-5,50,0,0.8454868708465914,Overcast,0,0,0,0,0
57,83463,684,20140209_234151.jpg,0,0,0,1,1,0,0,0,0,0,720,1280,523,505,17:54-5,47,0,17.042.794.979.525.600,Mostly Cloudy,0,0,0,0,0
58,64156,19388,20130928_191417.jpg,0,0,1,0,1,0,0,0,0,0,960,1280,396,393,17:50+1,144,0,0.4384843140864278,Unknown,0,0,0,0,0
59,70278,11160,20130907_202312.jpg,0,0,1,0,1,0,0,0,0,0,480,640,233,232,18:50+0,93,0,11.285.535.770.797.600,Mostly Cloudy,0,0,0,0,0
60,60520,7371,20121030_054719.jpg,0,0,1,0,1,0,0,0,0,0,960,1280,487,482,06:50+1,3,0,0.25315903677322743,Overcast,0,0,0,0,0
61,78060,21510,20140207_090122.jpg,0,0,0,1,1,0,0,0,0,0,480,640,216,213,00:43-7,78,0,10.254.962.450.217.400,Mostly Cloudy,0,0,0,0,0
62,73793,18590,20131213_083922.jpg,0,0,0,1,1,0,0,0,0,0,480,640,280,268,01:52-6,47,0,0.3209927962332551,Scattered Clouds,0,0,0,0,0
63,92475,4181,20130128_063152.jpg,0,0,0,1,1,0,0,0,0,0,480,640,166,155,21:58-7,93,0,6,17E-02,Clear,0,0,0,0,0
64,43798,684,20120824_004228.jpg,0,1,0,0,1,0,0,0,0,0,720,1280,523,505,18:54-5,48,0,24.149.901.665.401.900,Scattered Clouds,0,0,0,0,0
65,11128,4584,20130331_173656.jpg,1,0,0,0,1,0,0,0,0,0,480,640,246,245,18:50+2,46,0,6.379.938.655.886.940,Partly Cloudy,0,0,0,0,0
66,17670,8733,20130530_230644.jpg,1,0,0,0,1,0,0,0,0,0,480,640,321,319,00:50+1,44,0,17.854.190.136.719.700,Mostly Cloudy,0,0,0,0,0
67,66617,3396,20131123_160834.jpg,0,0,1,0,1,0,0,0,0,0,960,1280,484,482,16:20+1,48,0,1.203.722.985.874.700,Scattered Clouds,0,0,0,0,0
68,77498,3297,20130226_080133.jpg,0,0,0,1,1,0,0,0,0,0,412,550,242,236,00:00-8,1,1,0.0,Overcast,0,0,0,0,0
69,93061,3888,20130221_054227.jpg,0,0,0,1,1,0,0,0,0,0,240,320,69,68,06:30+0,48,0,0.0,Unknown,0,0,0,0,0
70,62420,9483,20131009_202407.jpg,0,0,1,0,1,0,0,0,0,0,647,1024,306,302,19:50+1,94,0,0.32764567436294856,Light Rain,0,1,0,0,0
71,79739,5020,20130629_064533.jpg,0,0,0,1,1,0,0,0,0,0,480,640,247,243,07:00-3,195,0,0.20350127838008253,Scattered Clouds,0,0,0,0,0
72,35206,623,20140812_111149.jpg,0,1,0,0,1,0,0,0,0,0,720,1280,435,435,02:52-6,139,0,2.219.685.572.032.460,Clear,0,0,0,0,0
73,9977,21511,20130327_113601.jpg,1,0,0,0,1,0,0,0,0,0,480,640,231,226,03:48-7,48,0,10.933.300.044.817.700,Clear,0,0,0,0,0
74,52648,3837,20141010_042219.jpg,0,0,1,0,1,0,0,0,0,0,480,640,124,119,06:00+0,98,0,16.928.868.728.316.800,,0,0,0,0,0
75,81367,684,20130130_234154.jpg,0,0,0,1,1,0,0,0,0,0,720,1280,523,505,17:54-5,47,0,13.402.818.214.558.500,Rain,0,1,0,0,0
76,73096,18590,20121027_110924.jpg,0,0,1,0,1,0,0,0,0,0,480,640,280,268,01:52-6,197,0,0.3209927962332544,Mostly Cloudy,0,0,0,0,0
77,39661,22788,20140823_202727.jpg,0,1,0,0,1,0,0,0,0,0,800,1280,357,351,19:50+1,97,0,0.6238095913996288,Scattered Clouds,0,0,0,0,0
78,66100,3396,20140916_023906.jpg,0,0,1,0,1,0,0,0,0,0,960,1280,484,482,06:00+1,141,1,0.16049639811662733,Scattered Clouds,0,0,0,0,0
79,91564,21511,20140213_030216.jpg,0,0,0,1,1,0,0,0,0,0,480,640,231,226,17:44-7,138,0,9.334.272.459.042.510,Clear,0,0,0,0,0
80,27089,623,20140816_031200.jpg,0,1,0,0,1,0,0,0,0,0,720,1280,435,435,18:52-6,140,0,29.700.746.818.187.000,Partly Cloudy,0,0,0,0,0
81,18074,21510,20140316_113048.jpg,1,0,0,0,1,0,0,0,0,0,480,640,216,213,03:43-7,47,0,7.862.127.212.890.520,Clear,0,0,0,0,0
82,24634,3395,20110530_013729.jpg,1,0,0,0,1,0,0,0,0,0,485,974,277,275,04:00+0,143,0,0.4633131932829993,,0,0,0,0,0
83,40297,18590,20120730_030939.jpg,0,1,0,0,1,0,0,0,0,0,480,640,280,268,18:52-6,137,0,0.320992796233255,Partly Cloudy,0,0,0,0,0
84,28590,18590,20120709_030931.jpg,0,1,0,0,1,0,0,0,0,0,480,640,280,268,18:52-6,137,0,0.32099279623325444,Light Rain,0,1,0,0,0
85,34107,18590,20120829_030918.jpg,0,1,0,0,1,0,0,0,0,0,480,640,280,268,17:52-6,197,0,0.3706505546264023,Overcast,0,0,0,0,0
86,34020,684,20130826_064150.jpg,0,1,0,0,1,0,0,0,0,0,720,1280,523,505,00:54-5,47,0,1.819.335.893.401.980,Clear,0,0,0,0,0
87,52298,260,20131120_004456.jpg,0,0,1,0,1,0,0,0,0,0,720,1280,337,325,22:08-5,144,0,0.7611403298521073,Clear,0,0,0,0,0
88,34100,3837,20130610_214528.jpg,0,1,0,0,1,0,0,0,0,0,480,640,124,119,21:50+0,5,0,10.645.507.645.575.800,Scattered Clouds,0,0,0,0,0
89,16662,19388,20130414_201411.jpg,1,0,0,0,1,0,0,0,0,0,960,1280,396,393,18:50+1,144,0,0.484815633414728,Clear,0,0,0,0,0
90,7364,162,20140313_030829.jpg,1,0,0,0,1,0,0,0,0,0,720,1280,521,513,17:52-6,196,0,15.805.807.603.002.400,Clear,0,0,0,0,0
91,21200,8887,20140404_183810.jpg,1,0,0,0,1,0,0,0,0,0,768,1024,52,48,18:50+1,48,0,10.035.481.465.594.600,Unknown,0,0,0,0,0
92,65234,260,20130926_031501.jpg,0,0,1,0,1,0,0,0,0,0,720,1280,337,325,21:26-5,49,0,0.7843059895162556,Clear,0,0,0,0,0
93,10657,11331,20140401_024130.jpg,1,0,0,0,1,0,0,0,0,0,665,857,181,180,05:20+1,99,1,1,14E-17,Clear,0,0,0,0,0
94,94628,8953,20130108_194304.jpg,0,0,0,1,1,0,0,0,0,0,960,1280,594,586,16:50+1,233,1,2,28E-18,Partly Cloudy,0,0,0,0,0
95,55658,4181,20131104_093028.jpg,0,0,1,0,1,0,0,0,0,0,480,640,166,155,00:58-7,92,0,1,45E-01,Clear,0,0,0,0,0
96,69702,623,20130902_031147.jpg,0,0,1,0,1,0,0,0,0,0,720,1280,435,435,18:52-6,139,0,25.134.143.666.653.900,Clear,0,0,0,0,0
97,75006,5021,20130714_091627.jpg,0,0,0,1,1,0,0,0,0,0,480,640,257,254,07:00-3,44,0,0.4136554348898556,Mostly Cloudy,0,0,0,0,0
98,15739,65,20130321_103310.jpg,1,0,0,0,1,0,0,0,0,0,720,1280,425,420,03:35-7,2,0,832.707.162.887.742,Clear,0,0,0,0,0
99,38167,9730,20131204_172710.jpg,0,1,0,0,1,0,0,0,0,0,480,640,182,179,15:00-4,93,0,0.5808047111361756,,0,0,0,0,0
100,54123,11160,20131016_182313.jpg,0,0,1,0,1,0,0,0,0,0,480,640,233,232,16:50+0,93,0,17.027.770.583.601.100,Mostly Cloudy,0,0,0,0,0
101,13752,9291,20140316_034524.jpg,1,0,0,0,1,0,0,0,0,0,480,640,152,143,06:20+1,95,0,31.190.479.569.981.400,Mist,0,0,0,0,0
102,74472,18590,20140106_070924.jpg,0,0,0,1,1,0,0,0,0,0,480,640,280,268,01:20-6,11,0,0.4384843140864272,Light Rain,0,1,0,0,0
103,20922,18590,20130503_083931.jpg,1,0,0,0,1,0,0,0,0,0,480,640,280,268,01:52-6,47,0,0.4136554348898578,Overcast,0,0,0,0,0
104,29449,8733,20130621_003649.jpg,0,1,0,0,1,0,0,0,0,0,480,640,321,319,00:50+1,46,0,10.507.707.825.488.600,Overcast,0,0,0,0,0
105,48569,8887,20130803_210810.jpg,0,1,0,0,1,0,0,0,0,0,768,1024,52,48,19:50+1,138,0,0.800938184840484,Partly Cloudy,0,0,0,0,0
106,57185,18590,20131017_233924.jpg,0,0,1,0,1,0,0,0,0,0,480,640,280,268,16:52-6,47,0,0.3888265556932817,Overcast,0,0,0,0,0
107,91097,3888,20130208_234350.jpg,0,0,0,1,1,0,0,0,0,0,240,320,69,68,23:30+0,13,0,4,57E-18,Unknown,0,0,0,0,0
108,64000,19388,20131006_201409.jpg,0,0,1,0,1,0,0,0,0,0,960,1280,396,393,18:50+1,144,0,0.32099279623325466,Clear,0,0,0,0,0
109,93559,18590,20140207_103925.jpg,0,0,0,1,1,0,0,0,0,0,480,640,280,268,03:52-6,47,0,0.3706505546264004,Scattered Clouds,0,0,0,0,0
110,83951,6798,20131205_012355.jpg,0,0,0,1,1,0,0,0,0,0,480,640,352,350,07:00-1,397,0,23.347.419.674.818.800,Partly Cloudy,0,0,0,0,0
111,65977,11160,20131123_172312.jpg,0,0,1,0,1,0,0,0,0,0,480,640,233,232,15:50+0,93,0,1.630.660.294.265.980,Light Drizzle,0,0,0,0,0
112,77173,623,20140129_004149.jpg,0,0,0,1,1,0,0,0,0,0,720,1280,435,435,17:52-6,49,0,15.243.895.375.671.800,Clear,0,0,0,0,0
113,451,5020,20131005_054537.jpg,1,0,0,0,1,0,0,0,0,0,480,640,247,243,06:00-3,195,0,0.463313193283,Overcast,0,0,0,0,0
114,14856,9291,20140324_021516.jpg,1,0,0,0,1,0,0,0,0,0,480,640,152,143,00:50+1,145,0,15.074.310.977.021.700,Mostly Cloudy,0,0,0,0,0
115,88507,5020,20140710_081532.jpg,0,0,0,1,1,0,0,0,0,0,480,640,247,243,06:00-3,45,0,0.6982962289893468,Overcast,0,0,0,0,0
116,11054,684,20130411_004159.jpg,1,0,0,0,1,0,0,0,0,0,720,1280,523,505,18:54-5,47,0,28.310.807.238.338.000,Partly Cloudy,0,0,0,0,0
117,58025,65,20131120_053317.jpg,0,0,1,0,1,0,0,0,0,0,720,1280,425,420,22:35-7,2,0,8.809.929.795.047.480,Partly Cloudy,0,0,0,0,0
118,36073,623,20140818_014146.jpg,0,1,0,0,1,0,0,0,0,0,720,1280,435,435,18:52-6,49,0,30.727.166.376.698.300,Scattered Clouds,0,0,0,0,0
119,89489,3396,20140203_043833.jpg,0,0,0,1,1,0,0,0,0,0,960,1280,484,482,08:00+1,142,0,0.37065055462640056,Heavy Fog,1,0,0,0,0
120,63410,21510,20130921_120118.jpg,0,0,1,0,1,0,0,0,0,0,480,640,216,213,01:54-7,187,0,8.802.950.672.377.010,Overcast,0,0,0,0,0
121,80513,7371,20120104_071713.jpg,0,0,0,1,1,0,0,0,0,0,960,1280,487,482,05:50+1,147,0,0.9017975073694204,Light Rain,0,1,0,0,0
122,87673,684,20130223_011148.jpg,0,0,0,1,1,0,0,0,0,0,720,1280,523,505,17:54-5,137,0,14.759.493.403.759.000,Clear,0,0,0,0,0
123,11223,19388,20130321_214407.jpg,1,0,0,0,1,0,0,0,0,0,960,1280,396,393,22:50+1,6,0,0.5708253939416359,Mostly Cloudy,0,0,0,0,0
124,74269,10917,20130217_205418.jpg,0,0,0,1,1,0,0,0,0,0,960,1280,959,959,23:20+0,146,0,0.6353327143368245,Mostly Cloudy,0,0,0,0,0
125,8185,21511,20140529_073143.jpg,1,0,0,0,1,0,0,0,0,0,480,640,231,226,00:51-7,20,0,10.515.252.020.279.400,Overcast,0,0,0,0,0
126,30608,4181,20130707_043156.jpg,0,1,0,0,1,0,0,0,0,0,480,640,166,155,19:58-7,93,0,1,76E-01,Mostly Cloudy,0,0,0,0,0
127,41173,4181,20130824_033031.jpg,0,1,0,0,1,0,0,0,0,0,480,640,166,155,18:58-7,92,0,2,91E-02,Partly Cloudy,0,0,0,0,0
128,62676,11331,20140921_041130.jpg,0,0,1,0,1,0,0,0,0,0,665,857,181,180,06:00+1,49,0,4,57E-18,Light Fog,1,0,0,0,0
129,39807,3395,20110727_230728.jpg,0,1,0,0,1,0,0,0,0,0,485,974,277,275,22:00+0,67,0,0.5129709516761475,,0,0,0,0,0
130,93763,9483,20131208_212408.jpg,0,0,0,1,1,0,0,0,0,0,647,1024,306,302,20:50+1,94,0,0.3209927962332538,Mostly Cloudy,0,0,0,0,0
131,85909,3888,20130105_201229.jpg,0,0,0,1,1,0,0,0,0,0,240,320,69,68,21:00+0,48,0,0.0,Unknown,0,0,0,0,0
132,69137,204,20131014_011949.jpg,0,0,1,0,1,0,0,0,0,0,480,704,369,366,16:54-6,145,0,0.25315903677322776,Clear,0,0,0,0,0
133,87017,17218,20130131_111016.jpg,0,0,0,1,1,0,0,0,0,0,600,960,310,310,08:00-4,50,0,0.3706505546264,,0,0,0,0,0
134,84495,10917,20120213_182405.jpg,0,0,0,1,1,0,0,0,0,0,960,1280,959,959,16:50+0,94,0,0.4814891943498834,Light Snow Showers,0,0,1,0,0
135,94624,21511,20131206_030145.jpg,0,0,0,1,1,0,0,0,0,0,480,640,231,226,16:48-7,193,0,7.639.558.616.782.470,Clear,0,0,0,0,0
136,34237,9730,20130128_032710.jpg,0,1,0,0,1,0,0,0,0,0,480,640,182,179,23:00-4,27,0,0.6001982734049378,Clear,0,0,0,0,0
137,84437,204,20140108_011946.jpg,0,0,0,1,1,0,0,0,0,0,480,704,369,366,16:54-6,145,0,0.2961639170366828,Mostly Cloudy,0,0,0,0,0
138,26139,17244,20130713_070544.jpg,0,1,0,0,1,0,0,0,0,0,480,640,157,142,05:48-6,283,0,10.301.054.941.966.200,Light Rain,0,1,0,0,0
139,77310,3837,20130217_221527.jpg,0,0,0,1,1,0,0,0,0,0,480,640,124,119,19:50+0,145,0,0.5989807122030546,Mostly Cloudy,0,0,0,0,0
140,74198,65,20130120_080306.jpg,0,0,0,1,1,0,0,0,0,0,720,1280,425,420,00:15-7,48,0,8.612.723.153.427.780,Clear,0,0,0,0,0
141,23803,8953,20130528_211304.jpg,1,0,0,0,1,0,0,0,0,0,960,1280,594,586,19:50+1,143,0,1.138.680.875.482.860,Partly Cloudy,0,0,0,0,0
142,65395,684,20121013_054151.jpg,0,0,1,0,1,0,0,0,0,0,720,1280,523,505,00:54-5,13,0,14.138.771.423.844.700,Clear,0,0,0,0,0
143,54764,21511,20131031_070141.jpg,0,0,1,0,1,0,0,0,0,0,480,640,231,226,02:17-7,136,0,12.234.078.258.997.400,Light Rain,0,1,0,0,0
144,75049,5020,20130621_011539.jpg,0,0,0,1,1,0,0,0,0,0,480,640,247,243,23:00-3,45,0,0.4384843140864258,Mostly Cloudy,0,0,0,0,0
145,22295,8887,20130406_010810.jpg,1,0,0,0,1,0,0,0,0,0,768,1024,52,48,00:50+1,78,0,0.8273108697797096,Mostly Cloudy,0,0,0,0,0
146,53174,4232,20140928_072043.jpg,0,0,1,0,1,0,0,0,0,0,480,800,286,285,00:51-7,31,0,0.3706505546264005,Mostly Cloudy,0,0,0,0,0
147,58459,10917,20121124_192418.jpg,0,0,1,0,1,0,0,0,0,0,960,1280,959,959,17:50+0,94,0,0.6238095913996298,Clear,0,0,0,0,0
148,55661,623,20140903_014152.jpg,0,0,1,0,1,0,0,0,0,0,720,1280,435,435,18:52-6,49,0,30.250.483.433.498.900,Clear,0,0,0,0,0
149,16228,260,20140317_084450.jpg,1,0,0,0,1,0,0,0,0,0,720,1280,337,325,06:10-5,146,0,14.305.093.377.087.000,Overcast,0,0,0,0,0
150,2177,10870,20130527_200802.jpg,1,0,0,0,1,0,0,0,0,0,480,640,185,183,20:20+1,48,0,28.574.534.087.730.200,Clear,0,0,0,0,0
151,19957,6798,20130408_020952.jpg,1,0,0,0,1,0,0,0,0,0,480,640,352,350,06:00-1,291,0,2.414.098.849.879.100,Scattered Clouds,0,0,0,0,0
152,81947,8887,20140210_190810.jpg,0,0,0,1,1,0,0,0,0,0,768,1024,52,48,17:50+1,138,0,0.8645541885745683,Partly Cloudy,0,0,0,0,0
153,32708,18590,20120719_051002.jpg,0,1,0,0,1,0,0,0,0,0,480,640,280,268,20:52-6,138,0,0.32099279623325466,Scattered Clouds,0,0,0,0,0
154,66880,623,20131105_094148.jpg,0,0,1,0,1,0,0,0,0,0,720,1280,435,435,02:52-6,49,0,2.030.707.611.113.630,Overcast,0,0,0,0,0
155,48470,11331,20140601_014123.jpg,0,1,0,0,1,0,0,0,0,0,665,857,181,180,04:20+1,99,1,1,14E-17,Clear,0,0,0,0,0
156,39708,18590,20120809_030955.jpg,0,1,0,0,1,0,0,0,0,0,480,640,280,268,18:52-6,137,0,0.2961639170366816,Mostly Cloudy,0,0,0,0,0
157,3024,17244,20130401_063550.jpg,1,0,0,0,1,0,0,0,0,0,480,640,157,142,05:10-6,275,0,1.406.565.375.807.520,Clear,0,0,0,0,0
158,52250,162,20131029_033827.jpg,0,0,1,0,1,0,0,0,0,0,720,1280,521,513,20:52-6,46,0,16.439.899.332.833.200,Overcast,0,0,0,0,0
159,1620,5020,20131112_071531.jpg,1,0,0,0,1,0,0,0,0,0,480,640,247,243,05:00-3,45,0,0.3706505546264003,Overcast,0,0,0,0,0
160,29992,18590,20130823_130931.jpg,0,1,0,0,1,0,0,0,0,0,480,640,280,268,04:52-6,137,0,0.5244940746133224,Partly Cloudy,0,0,0,0,0
161,75996,3396,20140201_043841.jpg,0,0,0,1,1,0,0,0,0,0,960,1280,484,482,08:00+1,142,0,0.3209927962332546,Mist,0,0,0,0,0
162,91818,623,20140123_011159.jpg,0,0,0,1,1,0,0,0,0,0,720,1280,435,435,17:36-6,95,0,17.042.794.979.525.600,Overcast,0,0,0,0,0
