,Unnamed: 0,CamId,Filename,S_Spring,S_Summer,S_Fall,S_Winter,D_Night,D_Twilight,D_Sunrise,D_Sunset,D_Day,D_FullDaylight,I_Height,I_Width,I_LowestSky,I_Low09Sky,DQ_TimeDiffers,IQ_Empty,IQ_Noise,Conds,Fog,Rain,Snow,Hail,Thunder
81429,81429,8438,20130104_084636.jpg,0,0,0,1,1,0,0,0,0,0,600,800,271,267,353,0,0.5063180735464561,Clear,0,0,0,0,0
1931,1931,10870,20130304_072550.jpg,1,0,0,0,0,1,0,0,0,0,480,640,185,183,35,0,0.0,Mist,0,0,0,0,0
58894,58894,4801,20111115_141001.jpg,0,0,1,0,0,0,0,0,1,1,480,640,243,241,0,0,1.1695669281730094e-30,Overcast,0,0,0,0,0
89790,89790,9112,20131107_214923.jpg,0,0,1,0,1,0,0,0,0,0,480,640,265,262,0,0,0.6419855924665098,Rain,0,1,0,0,0
75604,75604,7211,20120218_143952.jpg,0,0,0,1,0,0,0,0,1,1,1024,1280,415,406,0,0,0.03391687973001803,Mostly Cloudy,0,0,0,0,0
5483,5483,10917,20121217_162413.jpg,0,0,0,1,0,0,0,0,1,1,960,1280,959,959,94,0,0.5311469527430241,Light Snow,0,1,1,0,0
47415,47415,3837,20130227_205224.jpg,0,0,0,1,1,0,0,0,0,0,480,640,124,119,0,0,2.057523899181571e-17,Mostly Cloudy,0,0,0,0,0
6451,6451,10917,20130704_075421.jpg,0,1,0,0,0,0,0,0,1,1,960,1280,959,959,146,0,0.8454868708465886,Light Rain Showers,0,1,0,0,0
12783,12783,162,20140421_160827.jpg,1,0,0,0,0,0,0,0,1,1,720,1280,521,513,884,0,0.4384843140864193,Clear,0,0,0,0,0
22183,22183,19106,20130927_220652.jpg,0,0,1,0,0,1,0,0,0,0,480,640,256,255,246,0,0.4384843140864429,Unknown,0,0,0,0,0
76898,76898,7233,20130104_173146.jpg,0,0,0,1,1,0,0,0,0,0,720,1280,258,247,109,0,1.8274483252703274e-32,Mostly Cloudy,0,0,0,0,0
56038,56038,4679,20140512_024016.jpg,1,0,0,0,0,0,0,0,1,1,480,640,188,185,160,0,0.0,Mostly Cloudy,0,0,0,0,0
936,936,10066,20130707_142726.jpg,0,1,0,0,0,0,0,0,1,1,480,640,278,268,153,0,0.5344733918078819,Mostly Cloudy,0,0,0,0,0
90047,90047,9112,20131229_114924.jpg,0,0,0,1,0,0,0,0,1,1,480,640,265,262,0,0,0.7843059895162721,Scattered Clouds,0,0,0,0,0
72934,72934,684,20130430_221146.jpg,1,0,0,0,0,0,0,0,1,1,720,1280,523,505,437,0,0.43183143595673495,Overcast,0,0,0,0,0
65748,65748,623,20140705_124149.jpg,0,1,0,0,0,0,0,0,1,1,720,1280,435,435,1084,0,0.4384843140864394,Partly Cloudy,0,0,0,0,1
67931,67931,65,20131211_220316.jpg,0,0,0,1,0,0,0,0,1,1,720,1280,425,420,468,0,0.3209927962332437,Clear,0,0,0,0,0
93964,93964,9730,20130717_122711.jpg,0,0,0,1,0,0,0,0,1,1,480,640,182,179,1293,0,1.8850884517660946e-15,Unknown,0,0,0,0,0
89252,89252,8953,20130511_121305.jpg,1,0,0,0,0,0,0,0,1,1,960,1280,594,586,1357,0,0.4384843140864211,Mostly Cloudy,0,0,0,0,0
57345,57345,4795,20130218_010423.jpg,0,0,0,1,1,0,0,0,0,0,381,508,52,49,0,0,0.32099279623325583,Mostly Cloudy,0,0,0,0,0
58554,58554,4801,20110907_084003.jpg,0,0,1,0,0,0,0,0,1,1,480,640,243,241,160,0,0.481489194349875,Mostly Cloudy,0,0,0,0,0
77160,77160,7233,20130326_083141.jpg,1,0,0,0,0,0,0,0,1,1,720,1280,258,247,109,0,5.847834640865047e-31,Light Snow,0,0,1,0,0
5186,5186,10917,20121019_095412.jpg,0,0,1,0,0,0,0,0,1,1,960,1280,959,959,1294,0,0.7164722300562227,Clear,0,0,0,0,0
75603,75603,7211,20120218_140952.jpg,0,0,0,1,0,0,0,0,1,1,1024,1280,415,406,0,0,0.009088000533450971,Mostly Cloudy,0,0,0,0,0
68813,68813,65,20140613_170315.jpg,0,1,0,0,0,0,0,0,1,1,720,1280,425,420,972,0,0.27798791596979977,Clear,0,0,0,0,0
47510,47510,3837,20130318_204533.jpg,1,0,0,0,1,0,0,0,0,0,480,640,124,119,0,0,1.4548891015646752e-17,Light Rain Showers,0,1,0,0,0
19362,19362,18590,20130331_233932.jpg,1,0,0,0,0,0,0,0,1,1,480,640,280,268,407,0,0.3821736775635944,Overcast,0,0,0,0,0
21151,21151,18590,20140415_090928.jpg,1,0,0,0,1,0,0,0,0,0,480,640,280,268,507,0,0.32099279623325394,Rain,0,1,0,0,0
66134,66134,623,20140920_204155.jpg,0,0,1,0,0,0,0,0,1,1,720,1280,435,435,409,0,0.4633131932830016,Partly Cloudy,0,0,0,0,0
20814,20814,18590,20140127_113926.jpg,0,0,0,1,1,0,0,0,0,0,480,640,280,268,407,0,0.34582167542982883,Overcast,0,0,0,0,0
27653,27653,204,20131219_134957.jpg,0,0,0,1,0,0,0,0,1,1,480,704,369,366,1085,0,0.2713350378401161,Clear,0,0,0,0,0
77952,77952,7233,20131205_213146.jpg,0,0,0,1,1,0,0,0,0,0,720,1280,258,247,109,0,0.4384843140864288,Unknown,0,0,0,0,0
23468,23468,19306,20131208_035334.jpg,0,0,0,1,1,0,0,0,0,0,960,1296,272,249,478,0,0.9911337069611784,Clear,0,0,0,0,0
85146,85146,8733,20131106_120643.jpg,0,0,1,0,0,0,0,0,1,1,480,640,321,319,1304,0,0.3209927962332444,Rain,0,1,0,0,0
77393,77393,7233,20130613_130139.jpg,0,1,0,0,0,0,0,0,1,1,720,1280,258,247,0,0,1.1695669281730094e-30,Scattered Clouds,0,0,0,0,0
77586,77586,7233,20130807_143148.jpg,0,1,0,0,0,0,0,0,1,1,720,1280,258,247,109,0,0.018176001066892492,Mostly Cloudy,0,0,0,0,0
55908,55908,4679,20140415_051012.jpg,1,0,0,0,0,1,0,0,0,0,480,640,188,185,0,0,0.13566751892005474,Partly Cloudy,0,0,0,0,0
92173,92173,9483,20131201_005407.jpg,0,0,0,1,1,0,0,0,0,0,647,1024,306,302,206,0,0.2961639170366825,Mostly Cloudy,0,0,0,0,0
5043,5043,10917,20120920_112419.jpg,0,0,1,0,0,0,0,0,1,1,960,1280,959,959,94,0,0.9878072678963294,Clear,0,0,0,0,0
47330,47330,3837,20130210_145216.jpg,0,0,0,1,0,0,0,0,1,1,480,640,124,119,0,0,0.4633131932829947,Unknown,0,0,0,0,0
40036,40036,260,20131027_181453.jpg,0,0,1,0,0,0,0,0,1,1,720,1280,337,325,1046,0,0.23498303570635526,Scattered Clouds,0,0,0,0,0
24521,24521,19388,20130719_134404.jpg,0,1,0,0,0,0,0,0,1,1,960,1280,396,393,156,0,0.5390173920745956,Clear,0,0,0,0,0
91767,91767,9483,20130910_182411.jpg,0,0,1,0,1,0,0,0,0,0,647,1024,306,302,156,0,1.1695669281730094e-30,Partly Cloudy,0,0,0,0,0
93169,93169,9730,20130204_212710.jpg,0,1,0,0,0,1,0,0,0,0,480,640,182,179,147,0,0.8893830677711436,Clear,0,0,0,0,0
19470,19470,18590,20130422_093924.jpg,1,0,0,0,1,0,0,0,0,0,480,640,280,268,407,0,0.3639976764967089,Partly Cloudy,0,0,0,0,0
38872,38872,260,20130303_164452.jpg,1,0,0,0,0,0,0,0,1,1,720,1280,337,325,1094,0,0.4814891943498604,Scattered Clouds,0,0,0,0,0
50968,50968,3888,20130509_164322.jpg,1,0,0,0,0,0,0,0,1,1,240,320,69,68,47,0,0.4384843140864276,Scattered Clouds,0,0,0,0,0
6969,6969,1093,20140602_195402.jpg,0,1,0,0,0,0,0,0,1,1,480,640,212,207,361,0,0.3209927962332667,Light Thunderstorms and Rain,0,1,0,0,1
34848,34848,21511,20140623_223147.jpg,0,1,0,0,0,0,0,0,1,1,480,640,231,226,419,0,0.9639571223221028,Thunderstorm,0,0,0,0,1
77990,77990,7233,20131213_143154.jpg,0,0,0,1,0,0,0,1,0,1,720,1280,258,247,109,0,1.1695669281730094e-30,Unknown,0,0,0,0,0
59425,59425,5020,20130807_184548.jpg,0,0,0,1,1,0,0,0,0,0,480,640,247,243,0,0,0.2779879159698127,Clear,0,0,0,0,0
27355,27355,204,20131020_224953.jpg,0,0,1,0,0,0,0,1,0,1,480,704,369,366,355,0,0.3706505546263937,Mostly Cloudy,0,0,0,0,0
24641,24641,19388,20130812_114411.jpg,0,1,0,0,0,0,0,0,1,1,960,1280,396,393,1284,0,0.5063180735464365,Light Drizzle,0,0,0,0,0
53578,53578,4181,20131201_190049.jpg,0,0,0,1,0,0,0,0,1,1,480,640,166,155,778,0,0.4384843140864248,Overcast,0,0,0,0,0
83766,83766,8733,20130128_130637.jpg,0,0,0,1,0,0,0,0,1,1,480,640,321,319,1304,0,0.3524745535595097,Light Rain Showers,0,1,0,0,0
28312,28312,204,20140503_101946.jpg,1,0,0,0,1,0,0,0,0,0,480,704,369,366,505,0,0.2035012783800815,Light Rain,0,1,0,0,0
12131,12131,162,20131205_190833.jpg,0,0,0,1,0,0,0,0,1,1,720,1280,521,513,884,0,0.438484314086409,Clear,0,0,0,0,0
37422,37422,24325,20140226_230852.jpg,0,0,0,1,0,0,0,0,1,1,768,1024,418,409,615,0,0.3334072358315393,Clear,0,0,0,0,0
85312,85312,8733,20131209_113641.jpg,0,0,0,1,0,0,0,0,1,1,480,640,321,319,0,0,0.09266263865660083,Clear,0,0,0,0,0
9146,9146,11160,20131108_065316.jpg,0,0,1,0,0,0,0,0,1,1,480,640,233,232,147,0,0.5468878314061587,Scattered Clouds,0,0,0,0,0
23454,23454,19306,20131203_145332.jpg,0,0,0,1,0,0,0,0,1,1,960,1296,272,249,962,0,1.1695669281730094e-30,Clear,0,0,0,0,0
75636,75636,7211,20120225_083952.jpg,0,0,0,1,0,0,0,0,1,1,1024,1280,415,406,0,0,1.6784792000886485e-14,Mostly Cloudy,0,0,0,0,0
71236,71236,6798,20131222_085356.jpg,0,0,0,1,0,0,0,0,1,1,480,640,352,350,37,0,0.11749151785317838,Mostly Cloudy,0,0,0,0,0
25878,25878,19834,20140518_093244.jpg,1,0,0,0,1,0,0,0,0,0,512,672,283,282,459,0,0.9932425848241536,Clear,0,0,0,0,0
8310,8310,11160,20130520_155311.jpg,1,0,0,0,0,0,0,0,1,1,480,640,233,232,147,0,0.0,Scattered Clouds,0,0,0,0,0
41136,41136,260,20140614_001508.jpg,0,1,0,0,0,0,0,0,1,1,720,1280,337,325,347,0,0.4384843140864186,Clear,0,0,0,0,0
81292,81292,75,20140905_021302.jpg,0,0,1,0,0,0,0,0,1,1,720,1280,621,616,621,0,0.3209927962332599,Clear,0,0,0,0,0
75465,75465,7211,20120119_080952.jpg,0,0,0,1,0,0,1,0,0,1,1024,1280,415,406,0,0,0.14232039704974506,Rain,0,1,0,0,0
80842,80842,75,20140418_004309.jpg,1,0,0,0,0,0,0,0,1,1,720,1280,621,616,531,0,0.3209927962332572,Clear,0,0,0,0,0
5658,5658,10917,20130121_162417.jpg,0,0,0,1,0,0,0,0,1,1,960,1280,959,959,94,0,0.8091348687128251,Light Snow,0,0,1,0,0
51569,51569,3888,20130914_121225.jpg,0,0,1,0,0,0,0,0,1,1,240,320,69,68,48,0,0.4012409952915668,Partly Cloudy,0,0,0,0,0
39653,39653,260,20130811_221458.jpg,0,1,0,0,0,0,0,0,1,1,720,1280,337,325,393,0,0.4384843140864307,Clear,0,0,0,0,0
71707,71707,684,20120827_194158.jpg,0,1,0,0,0,0,0,0,1,1,720,1280,523,505,347,0,0.4384843140864156,Scattered Clouds,0,0,0,0,0
82193,82193,8438,20130619_071744.jpg,0,1,0,0,1,0,0,0,0,0,600,800,271,267,384,0,0.5559758319396007,Clear,0,0,0,0,0
51805,51805,3888,20131203_041230.jpg,0,0,0,1,1,0,0,0,0,0,240,320,69,68,48,0,4.568620813175818e-33,Unknown,0,0,0,0,0
27033,27033,204,20130817_094951.jpg,0,1,0,0,1,0,0,0,0,0,480,704,369,366,355,0,0.2531590367732303,Clear,0,0,0,0,0
83442,83442,861,20140831_163559.jpg,0,1,0,0,0,0,0,0,1,1,480,640,164,163,979,0,0.2068277174449305,Clear,0,0,0,0,0
21957,21957,19106,20130813_170647.jpg,0,1,0,0,0,0,0,0,1,1,480,640,256,255,246,0,0.3706505546263863,Unknown,0,0,0,0,0
39645,39645,260,20130810_131452.jpg,0,1,0,0,0,0,0,0,1,1,720,1280,337,325,1044,0,0.4318314359567228,Clear,0,0,0,0,0
47482,47482,3837,20130313_054525.jpg,1,0,0,0,0,0,0,0,1,1,480,640,124,119,195,0,0.2001748393152325,,0,0,0,0,0
60561,60561,5020,20140401_064529.jpg,0,0,1,0,0,0,0,0,1,1,480,640,247,243,0,0,0.4384843140864294,Mostly Cloudy,0,0,0,0,0
27258,27258,204,20131001_141957.jpg,0,0,1,0,0,0,1,0,0,1,480,704,369,366,935,0,0.2531590367732361,Overcast,0,0,0,0,0
87170,87170,8887,20131221_073805.jpg,0,0,0,1,0,1,0,0,0,0,768,1024,52,48,0,0,1.1695669281730094e-30,Overcast,0,0,0,0,0
20479,20479,18590,20131114_063925.jpg,0,0,1,0,1,0,0,0,0,0,480,640,280,268,347,0,0.2961639170366815,Clear,0,0,0,0,0
71751,71751,684,20120905_121147.jpg,0,0,1,0,1,0,0,0,0,0,720,1280,523,505,1003,0,0.3954794338229837,Overcast,0,0,0,0,0
14288,14288,17218,20130425_084013.jpg,1,0,0,0,0,0,0,0,1,1,600,960,310,310,100,0,3.9748309448529295e-17,Unknown,0,0,0,0,0
8123,8123,11160,20130413_145312.jpg,1,0,0,0,0,0,0,0,1,1,480,640,233,232,147,0,0.6250271526015114,Partly Cloudy,0,0,0,0,0
7349,7349,1093,20140817_212407.jpg,0,1,0,0,0,0,0,0,1,1,480,640,212,207,451,0,0.12990595745146025,Overcast,0,0,0,0,0
24159,24159,19388,20130504_214401.jpg,1,0,0,0,1,0,0,0,0,0,960,1280,396,393,0,0,0.5923278340733635,Clear,0,0,0,0,0
84845,84845,8733,20130907_010645.jpg,0,0,1,0,1,0,0,0,0,0,480,640,321,319,0,0,0.5708253939416364,Unknown,0,0,0,0,0
82441,82441,8438,20130807_214630.jpg,0,1,0,0,0,0,0,0,1,1,600,800,271,267,353,0,0.3102415761673956,Mostly Cloudy,0,0,0,0,0
26856,26856,204,20130712_071956.jpg,0,1,0,0,1,0,0,0,0,0,480,704,369,366,385,0,0.2531590367732277,Clear,0,0,0,0,0
39328,39328,260,20130607_234457.jpg,0,1,0,0,0,0,0,0,1,1,720,1280,337,325,298,0,0.4136554348898512,Mostly Cloudy,0,0,0,0,0
701,701,10066,20130521_085724.jpg,1,0,0,0,0,0,0,0,1,1,480,640,278,268,58,0,0.5278205136781826,Mostly Cloudy,0,0,0,0,0
56087,56087,4679,20140522_024013.jpg,1,0,0,0,0,0,0,0,1,1,480,640,188,185,200,0,0.43848431408643,Clear,0,0,0,0,0
66897,66897,65,20130515_000327.jpg,1,0,0,0,0,0,0,0,1,1,720,1280,425,420,468,0,0.3209927962332488,Clear,0,0,0,0,0
40226,40226,260,20131205_051449.jpg,0,0,0,1,1,0,0,0,0,0,720,1280,337,325,246,0,0.8715333112450392,Overcast,0,0,0,0,0
76822,76822,7211,20121118_111005.jpg,0,0,1,0,0,0,0,0,1,1,1024,1280,415,406,0,0,0.18532527731319806,Mostly Cloudy,0,0,0,0,0
89673,89673,9112,20131015_184917.jpg,0,0,1,0,1,0,0,0,0,0,480,640,265,262,0,0,0.5311469527430277,Light Rain Showers,0,1,0,0,0
37810,37810,24325,20140517_133852.jpg,1,0,0,0,0,0,0,0,1,1,768,1024,418,409,975,0,0.27466147690494536,Clear,0,0,0,0,0
27623,27623,204,20131213_084945.jpg,0,0,0,1,1,0,0,0,0,0,480,704,369,366,355,0,0.13566751892005502,Partly Cloudy,0,0,0,0,0
32609,32609,21511,20130203_113146.jpg,0,0,0,1,1,0,0,0,0,0,480,640,231,226,519,0,0.6577264711296416,Clear,0,0,0,0,0
14226,14226,17218,20130412_124022.jpg,1,0,0,0,0,0,0,0,1,1,600,960,310,310,1340,0,9.128647035907434e-15,Unknown,0,0,0,0,0
28676,28676,204,20140715_004947.jpg,0,1,0,0,0,0,0,0,1,1,480,704,369,366,355,0,0.3028167951663654,Mostly Cloudy,0,0,0,0,0
9683,9683,11331,20140509_141126.jpg,1,0,0,0,0,0,0,0,1,1,665,857,181,180,109,0,2.057523899181571e-17,Partly Cloudy,0,0,0,0,0
51846,51846,3888,20131211_041222.jpg,0,0,0,1,1,0,0,0,0,0,240,320,69,68,48,0,0.0,Partly Cloudy,0,0,0,0,0
42496,42496,3297,20130609_140138.jpg,0,1,0,0,0,0,0,0,1,1,412,550,242,236,959,0,0.2779879159698033,Mostly Cloudy,0,0,0,0,0
63691,63691,623,20130430_141152.jpg,1,0,0,0,0,0,1,0,0,1,720,1280,435,435,941,0,0.4500074370236111,Clear,0,0,0,0,0
57289,57289,4795,20130206_220425.jpg,0,0,0,1,1,0,0,0,0,0,381,508,52,49,134,0,0.3706505546263984,Mostly Cloudy,0,0,0,0,0
78274,78274,7371,20120208_071711.jpg,0,0,0,1,1,0,0,0,0,0,960,1280,487,482,87,0,0.438484314086436,Light Snow,0,0,1,0,0
20491,20491,18590,20131116_190918.jpg,0,0,1,0,0,0,0,0,1,1,480,640,280,268,407,0,0.3706505546263967,Overcast,0,0,0,0,0
13005,13005,162,20140604_193835.jpg,0,1,0,0,0,0,0,0,1,1,720,1280,521,513,406,0,0.4384843140864155,Overcast,0,0,0,0,0
10368,10368,11331,20140923_154120.jpg,0,0,1,0,0,1,0,0,0,0,665,857,181,180,159,0,1.1695669281730094e-30,Partly Cloudy,0,0,0,0,0
43200,43200,3395,20110116_010729.jpg,0,0,0,1,1,0,0,0,0,0,485,974,277,275,53,0,0.5593022710044513,,0,0,0,0,0
20432,20432,18590,20131104_183925.jpg,0,0,1,0,0,0,0,0,1,1,480,640,280,268,1033,0,0.33916879730013355,Scattered Clouds,0,0,0,0,0
85272,85272,8733,20131201_113637.jpg,0,0,0,1,0,0,0,0,1,1,480,640,321,319,0,0,0.1356675189200537,Unknown,0,0,0,0,0
66383,66383,65,20130201_010311.jpg,0,0,0,1,0,0,0,0,1,1,720,1280,425,420,468,0,0.5063180735464474,Clear,0,0,0,0,0
87223,87223,8887,20131231_223813.jpg,0,0,0,1,1,0,0,0,0,0,768,1024,52,48,0,0,0.9696312668294549,Partly Cloudy,0,0,0,0,0
79884,79884,75,20130425_174305.jpg,1,0,0,0,0,0,0,0,1,1,720,1280,621,616,909,0,0.3028167951663751,Haze,0,0,0,0,0
89211,89211,8953,20130503_044308.jpg,1,0,0,0,0,0,0,0,1,1,960,1280,594,586,277,0,0.3458216754298289,Mostly Cloudy,0,0,0,0,0
91808,91808,9483,20130918_205413.jpg,0,0,1,0,1,0,0,0,0,0,647,1024,306,302,56,0,0.3209927962332536,Mostly Cloudy,0,0,0,0,0
75926,75926,7211,20120505_063954.jpg,1,0,0,0,0,0,0,0,1,1,1024,1280,415,406,0,0,0.2283301575766445,Rain Showers,0,1,0,0,0
60221,60221,5020,20140122_041527.jpg,0,1,0,0,1,0,0,0,0,0,480,640,247,243,135,0,0.2101541565097733,Clear,0,0,0,0,0
75950,75950,7211,20120509_144037.jpg,1,0,0,0,0,0,0,0,1,1,1024,1280,415,406,160,0,0.21015415650977648,Mostly Cloudy,0,0,0,0,0
74773,74773,684,20140610_204206.jpg,0,1,0,0,0,0,0,0,1,1,720,1280,523,505,348,0,0.4260698744881433,Mostly Cloudy,0,0,0,0,0
93016,93016,9730,20130105_002700.jpg,0,1,0,0,1,0,0,0,0,0,480,640,182,179,147,0,0.6089600293976027,Clear,0,0,0,0,0
92191,92191,9483,20131204_122416.jpg,0,0,0,1,0,0,0,0,1,1,647,1024,306,302,156,0,0.18532527731321,Overcast,0,0,0,0,0
80517,80517,75,20131203_001258.jpg,0,0,0,1,0,0,0,0,1,1,720,1280,621,616,620,0,0.3458216754298241,Clear,0,0,0,0,0
61885,61885,5021,20130713_041631.jpg,0,0,0,1,1,0,0,0,0,0,480,640,257,254,136,0,0.4384843140864269,Scattered Clouds,0,0,0,0,0
81371,81371,75,20141003_164303.jpg,0,0,1,0,0,0,0,0,1,1,720,1280,621,616,909,0,0.3209927962332572,Clear,0,0,0,0,0
57596,57596,4801,20110127_091003.jpg,0,0,0,1,0,0,0,0,1,1,480,640,243,241,0,0,0.3636714319559268,Light Snow,0,0,1,0,0
53431,53431,4181,20131025_083025.jpg,0,0,1,0,1,0,0,0,0,0,480,640,166,155,452,0,2.057523899181571e-17,Clear,0,0,0,0,0
93383,93383,9730,20130319_062714.jpg,0,0,1,0,1,0,0,0,0,0,480,640,182,179,147,0,5.847834640865047e-31,Clear,0,0,0,0,0
26179,26179,19834,20140717_110241.jpg,0,1,0,0,1,0,0,0,0,0,512,672,283,282,456,0,0.5377998308727252,Thunderstorms and Rain,0,1,0,0,1
754,754,10066,20130601_064629.jpg,0,1,0,0,0,0,0,0,1,1,480,640,278,268,254,0,0.4848156334147211,Mostly Cloudy,0,0,0,0,0
14028,14028,17218,20130304_161023.jpg,1,0,0,0,0,0,0,0,1,1,600,960,310,310,190,0,4.115047798363142e-17,Unknown,0,0,0,0,0
77599,77599,7233,20130812_070139.jpg,0,1,0,0,0,0,0,0,1,1,720,1280,258,247,0,0,1.6460191193452567e-16,Partly Cloudy,0,0,0,0,0
93039,93039,9730,20130109_092701.jpg,0,1,0,0,0,0,0,0,1,1,480,640,182,179,147,0,1.0287619495907856e-17,Scattered Clouds,0,0,0,0,0
18461,18461,18590,20121002_140927.jpg,0,0,1,0,0,0,0,0,1,1,480,640,280,268,1081,0,0.3028167951663756,Mostly Cloudy,0,0,0,0,0
60694,60694,5020,20140506_211534.jpg,0,0,1,0,1,0,0,0,0,0,480,640,247,243,135,0,0.7528242321899912,Mostly Cloudy,0,0,0,0,0
73380,73380,684,20130801_204159.jpg,0,1,0,0,0,0,0,0,1,1,720,1280,523,505,347,0,0.43848431408644656,Scattered Clouds,0,0,0,0,0
61953,61953,5021,20130726_231633.jpg,0,0,0,1,1,0,0,0,0,0,480,640,257,254,136,0,0.18532527731320028,,0,0,0,0,0
20408,20408,18590,20131031_010920.jpg,0,0,1,0,0,0,0,0,1,1,480,640,280,268,557,0,0.320992796233255,Overcast,0,0,0,0,0
41541,41541,260,20140902_221457.jpg,0,0,1,0,0,0,0,0,1,1,720,1280,337,325,444,0,0.4136554348898451,Scattered Clouds,0,0,0,0,0
60830,60830,5020,20140608_024527.jpg,0,0,0,1,1,0,0,0,0,0,480,640,247,243,225,0,0.7164722300562283,Clear,0,0,0,0,0
56795,56795,4679,20141010_104024.jpg,0,0,1,0,0,0,0,0,1,1,480,640,188,185,1280,0,0.3639976764967014,Mostly Cloudy,0,0,0,0,0
20393,20393,18590,20131028_050934.jpg,0,0,1,0,1,0,0,0,0,0,480,640,280,268,497,0,0.32099279623325433,Overcast,0,0,0,0,0
47441,47441,3837,20130304_224531.jpg,1,0,0,0,1,0,0,0,0,0,480,640,124,119,0,0,2.0224696858040172e-17,Mist,0,0,0,0,0
93636,93636,9730,20130508_132706.jpg,0,0,1,0,0,0,0,0,1,1,480,640,182,179,1293,0,4.655645125006959e-15,Clear,0,0,0,0,0
23740,23740,19388,20130210_004407.jpg,0,0,0,1,1,0,0,0,0,0,960,1280,396,393,156,0,0.540234953276469,Overcast,0,0,0,0,0
14789,14789,17218,20130807_164009.jpg,0,1,0,0,0,0,0,0,1,1,600,960,310,310,100,0,7.631675414117623e-15,,0,0,0,0,0
53463,53463,4181,20131031_193033.jpg,0,0,1,0,0,0,0,0,1,1,480,640,166,155,928,0,5.1438097479539266e-17,Clear,0,0,0,0,0
48372,48372,3837,20130912_065223.jpg,0,0,1,0,0,0,0,0,1,1,480,640,124,119,0,0,0.5559758319395984,Mostly Cloudy,0,0,0,0,0
14490,14490,17218,20130608_151019.jpg,0,1,0,0,0,0,0,0,1,1,600,960,310,310,190,0,0.1853252773131921,Unknown,0,0,0,0,0
36934,36934,24325,20131104_190851.jpg,0,0,1,0,0,0,0,0,1,1,768,1024,418,409,825,0,0.253159036773227,Clear,0,0,0,0,0
51379,51379,3888,20130807_174357.jpg,0,1,0,0,0,0,0,0,1,1,240,320,69,68,47,0,0.4384843140864203,Mostly Cloudy,0,0,0,0,0
253,253,10066,20130220_162727.jpg,0,0,0,1,1,0,0,0,0,0,480,640,278,268,153,0,0.35823611502812536,Light Snow,0,0,1,0,0
51732,51732,3888,20131118_131226.jpg,0,0,1,0,0,0,0,0,1,1,240,320,69,68,48,0,0.2622470373066689,Light Rain,0,1,0,0,0
81291,81291,75,20140905_004302.jpg,0,0,1,0,0,0,0,0,1,1,720,1280,621,616,531,0,0.32099279623325383,Clear,0,0,0,0,0
7773,7773,11160,20130202_085317.jpg,0,0,0,1,0,0,0,0,1,1,480,640,233,232,147,0,0.4293963135529825,Snow,0,0,1,0,0
39936,39936,260,20131007_144500.jpg,0,0,1,0,0,0,0,0,1,1,720,1280,337,325,1139,0,0.4318314359567338,Overcast,0,0,0,0,0
18254,18254,18590,20120822_080957.jpg,0,1,0,0,1,0,0,0,0,0,480,640,280,268,437,0,0.320992796233255,Mostly Cloudy,0,0,0,0,0
24700,24700,19388,20130824_171423.jpg,0,1,0,0,0,0,0,0,1,1,960,1280,396,393,84,0,0.4384843140864309,Scattered Clouds,0,0,0,0,0
